"active_date","address","boro","census_tract","city","community_board","corner","council_district","cross_street_1","cross_street_2","install_date","latitude","longitude","nta","nta_name","phone_status","ppt_id","site_id","state","status","tablet_status","wifi_status","zip"
"2016-11-16T00:00:00.000","870 8 AVENUE","Manhattan","131","New York","5","NE","3","WEST 52 STREET","WEST 53 STREET","2016-10-01T00:00:00.000","40.76361577","-73.98498723","MN17","Midtown-Midtown South","up","122609","mn-05-122609","NY","Link Active!","up","up","10019"
"2018-03-12T00:00:00.000","658 FRANKLIN AVENUE","Brooklyn","305","New York","8","NW","35","ST. MARKS AVENUE","PROSPECT PLACE","2017-11-10T00:00:00.000","40.67574507","-73.95621158","BK61","Crown Heights North","up","145991","bk-08-145991","NY","Link Active!","up","up","11238"
"2018-04-25T00:00:00.000","776 MELROSE AVENUE","Bronx","69","New York","1","SE","17","EAST 158 STREET","EAST 157 STREET","2018-02-25T00:00:00.000","40.822111981873675","-73.91484907735503","BX34","Melrose South-Mott Haven North","up","146063","bx-01-146063","NY","Link Active!","up","up","10451"
"2018-06-11T00:00:00.000","271 EAST 161 STREET","Bronx","173","New York","4","NE","17","MORRIS AVENUE","PARK AVENUE","2018-05-02T00:00:00.000","40.82560474","-73.91825809","BX14","East Concourse-Concourse Village","up","119077","bx-04-119077","NY","Link Active!","up","up","10451"
"2017-07-20T00:00:00.000","100 EAST 188 STREET","Bronx","23703","New York","5","SE","14","EAST 188 STREET","MORRIS STREET","2017-05-10T00:00:00.000","40.86208577","-73.89952057","BX40","Fordham South","up","119570_119571","bx-05-119570","NY","Link Active!","up","up","10468"
"2018-01-12T00:00:00.000","202 EAST 188 STREET","Bronx","23702","New York","5","SE","15","GRAND COUNCORSE","VALENTINE AVENUE","2017-10-06T00:00:00.000","40.86115","-73.8974","BX05","Bedford Park-Fordham North","up","145959","bx-05-145959","NY","Link Active!","up","up","10458"
"2016-04-01T00:00:00.000","908 8 AVENUE","Manhattan","131","New York","5","SE","3","WEST 54 STREET","WEST 53 STREET","2016-03-18T00:00:00.000","40.76464619","-73.98422945","MN17","Midtown-Midtown South","up","122615","mn-05-122615","NY","Link Active!","down","up","10019"
"2016-03-30T00:00:00.000","910 8 AVENUE","Manhattan","137","New York","5","NE","3","WEST 54 STREET","WEST 55 STREET","2016-03-10T00:00:00.000","40.76482318","-73.98409944","MN17","Midtown-Midtown South","up","122619","mn-05-122619","NY","Link Active!","down","up","10019"
"2016-08-03T00:00:00.000","944 8 AVENUE","Manhattan","137","New York","5","SE","3","WEST 56 STREET","WEST 55 STREET","2016-07-19T00:00:00.000","40.76582962","-73.98336787","MN17","Midtown-Midtown South","up","122622","mn-05-122622","NY","Link Active!","up","up","10019"
"2016-03-30T00:00:00.000","266 WEST 58 STREET","Manhattan","137","New York","5","SE","3","8 AVENUE","BROADWAY","2016-03-10T00:00:00.000","40.767271","-73.982247","MN17","Midtown-Midtown South","up","122628","mn-05-122628","NY","Link Active!","up","up","10019"
"2017-05-08T00:00:00.000","1401 6 AVENUE","Manhattan","137","New York","5","NW","4","WEST 57 STREET","WEST 58 STREET","2017-02-18T00:00:00.000","40.76451317","-73.97719468","MN17","Midtown-Midtown South","up","122629_122744_122756","mn-05-122629","NY","Link Active!","up","up","10019"
"2017-07-12T00:00:00.000","916 7 AVENUE","Manhattan","137","New York","5","SW","4","WEST 57 STREET","WEST 58 STREET","2017-06-11T00:00:00.000","40.766148","-73.979721","MN17","Midtown-Midtown South","up","122631_122632","mn-05-122631","NY","Link Active!","up","up","10019"
"2016-10-25T00:00:00.000","936 7 AVENUE","Manhattan","137","New York","5","SW","4","WEST 59 STREET","WEST 58 STREET","2016-09-18T00:00:00.000","40.76664932","-73.9793497","MN17","Midtown-Midtown South","up","122633_122634","mn-05-122633","NY","Link Active!","up","up","10019"
"2016-11-18T00:00:00.000","879 7 AVENUE","Manhattan","137","New York","5","SE","4","WEST 56 STREET","WEST 55 STREET","2016-10-16T00:00:00.000","40.7647181","-73.98047755","MN17","Midtown-Midtown South","up","122647_122648","mn-05-122647","NY","Link Active!","up","up","10019"
"2016-11-11T00:00:00.000","780 7 AVENUE","Manhattan","131","New York","5","SW","4","WEST 51 STREET","WEST 50 STREET","2016-10-16T00:00:00.000","40.76164","-73.982996","MN17","Midtown-Midtown South","up","122651_122654","mn-05-122651","NY","Link Active!","up","up","10019"
"2017-06-29T00:00:00.000","821 7 AVENUE","Manhattan","131","New York","5","NE","4","WEST 53 STREET","WEST 54 STREET","2017-04-01T00:00:00.000","40.763036","-73.981711","MN17","Midtown-Midtown South","up","122657_139241","mn-05-122657","NY","Link Active!","up","up","10019"
"2018-03-08T00:00:00.000","704 7 AVENUE","Manhattan","125","New York","5","NWC","4","WEST 47 STREET","WEST 48 STREET","2017-11-22T00:00:00.000","40.75937884","-73.98463666","MN17","Midtown-Midtown South","up","122658_122671","mn-05-122658","NY","Link Active!","up","up","10036"
"2016-11-11T00:00:00.000","899 6 AVENUE","Manhattan","101","New York","5","MIDBLK","3","WEST 32 STREET","WEST 33 STREET","2016-10-22T00:00:00.000","40.74877222","-73.98867303","MN17","Midtown-Midtown South","up","122768_122773","mn-05-122768","NY","Link Active!","up","up","10001"
"2016-07-18T00:00:00.000","1313 BROADWAY","Manhattan","109","New York","5","NE","3","WEST 34 STREET","WEST 35 STREET","2016-04-30T00:00:00.000","40.75009207986224","-73.98779172883604","MN17","Midtown-Midtown South","up","122775_122787","mn-05-122775","NY","Link Active!","up","up","10001"
"2018-04-03T00:00:00.000","1100 6 AVENUE","Manhattan","96","New York","5","NE","4","WEST 42 STREET","WEST 43 STREET","2017-07-29T00:00:00.000","40.75495098","-73.98389868","MN17","Midtown-Midtown South","up","122814_144511","mn-05-122814","NY","Link Active!","up","up","10036"
"2017-07-12T00:00:00.000","2 WEST 57 STREET","Manhattan","11201","New York","5","SW","4","5 AVENUE","6 AVENUE","2017-06-10T00:00:00.000","40.76298745","-73.97425395","MN17","Midtown-Midtown South","up","122858_122859","mn-05-122858","NY","Link Active!","up","up","10019"
"2018-01-08T00:00:00.000","2 WEST 54 STREET","Manhattan","104","New York","5","SW","4","5 AVENUE","6 AVENUE","2017-02-11T00:00:00.000","40.7611177503084","-73.97568364746076","MN17","Midtown-Midtown South","up","122860_122862","mn-05-122860","NY","Link Active!","up","up","10019"
,"2 CLIFFORD PLACE","Bronx","22701","New York","5","SE","14","JEROME AVENUE","TOWSEND AVENUE","2018-06-20T00:00:00.000","40.846434","-73.912958","BX41","Mount Hope","Not Available","GF2057","bx-05-gf2057","NY","Link Installed; Connecting Power and Fiber","Not Available","Not Available","10453"
,"1750 JEROME AVENUE","Bronx","22701","New York","5","NE","14","EAST 175 STREET","EAST 176 STREET","2018-06-20T00:00:00.000","40.84779956","-73.91213693","BX41","Mount Hope","Not Available","GF2058","bx-05-gf2058","NY","Link Installed; Connecting Power and Fiber","Not Available","Not Available","10453"
